date,open,high,low,close,volume
2016/2/29,2882.58,2883.76,2761.42,2812.8,20635.44
2016/3/1,2813.18,2875.18,2792.61,2860.1,18650.56
2016/3/2,2860.72,2985.26,2859.44,2982.09,26986.65
2016/3/3,2979.62,3012.23,2972.85,2992.71,28664.39
2016/3/4,2980.92,3014.45,2939.45,3007.99,31175.19
2016/3/7,3021.06,3047.41,3004.95,3032.19,21690.84
2016/3/8,3030.41,3037.73,2932.78,3036.43,23276.86
2016/3/9,2971.39,2996.29,2942.41,2995.81,18285.41
2016/3/10,2980.05,2996.38,2933.79,2935.11,13860.89
2016/3/11,2910.84,2946.48,2901.35,2940.94,12693.08
2016/3/14,2961.67,3024.15,2954.21,2992.38,19401.59
2016/3/15,2986.58,2999.01,2950.72,2997.51,16287.14
2016/3/16,2991.55,3015.62,2986.81,3004.02,18601.43
2016/3/17,3009.25,3056.94,2990.07,3039.98,19964.94
2016/3/18,3051.19,3109.82,3044.05,3092.59,31196.44
2016/3/21,3116.99,3169.28,3111.99,3159.28,35121.74
2016/3/22,3141.25,3159.59,3127.42,3138.89,26954.18
2016/3/23,3130.29,3152.71,3119.45,3149.97,21629.98
2016/3/24,3125.65,3137.59,3098.15,3098.61,23629.43
2016/3/25,3093.62,3120.03,3089.31,3117.93,17455.27
2016/3/28,3126.92,3148,3085.48,3095.22,20131.72
2016/3/29,3094.07,3099.83,3040.15,3055.43,18230.84
2016/3/30,3077.88,3140.62,3077.88,3140.13,20957.5
2016/3/31,3149.28,3164.01,3132.04,3143.56,21978.64
2016/4/1,3136.4,3149.63,3093.62,3149.47,20590.26
2016/4/5,3140.45,3199.6,3132.28,3195.12,25596.87
2016/4/6,3181.13,3202.15,3169.87,3192.5,23163.82
2016/4/7,3200.65,3204.86,3146.85,3148.26,22027.01
2016/4/8,3127.06,3135.44,3098.03,3123.71,18722.45
2016/4/11,3146.76,3190.82,3146.76,3175.09,21941.3
2016/4/12,3172.3,3178.08,3140.86,3164.25,18227.05
2016/4/13,3182.85,3241.33,3182.85,3209.32,30904.3
2016/4/14,3223.43,3230.35,3199.19,3225.79,20770.01
2016/4/15,3228.6,3233.76,3209.54,3221.34,18917.88
2016/4/18,3200.71,3200.71,3163.54,3174.76,18280.52
2016/4/19,3188.9,3196.61,3165.57,3184.38,15608.22
2016/4/20,3192.31,3197.88,3040,3110.86,28206.31
2016/4/21,3091.72,3129.82,3080.27,3090.22,18878.24
2016/4/22,3069.37,3097.86,3062.81,3096.85,13687
2016/4/25,3087.11,3091.46,3052.59,3083.67,12549.94
2016/4/26,3081.61,3103.32,3070.34,3102.56,11741.37
2016/4/27,3105.18,3114.42,3086.52,3090.98,13053.18
2016/4/28,3093.15,3097.11,3051.91,3082.51,13828.03
2016/4/29,3071.78,3087.74,3066.53,3074.87,10907.91
2016/5/3,3077.04,3132.72,3065.94,3131.79,16820.79
2016/5/4,3121.69,3144.14,3116.76,3130.36,16503.94
2016/5/5,3125.89,3138.6,3115.61,3137.26,14451.35
2016/5/6,3137.86,3143.28,3048.35,3048.58,20619.62
2016/5/9,3030.66,3030.66,2952.75,2963.54,17969.47
2016/5/10,2953.27,2977.36,2951.02,2964.1,12044.55
2016/5/11,2975.6,2990.07,2949.58,2968.93,13531.09
2016/5/12,2942.76,2971.37,2910.5,2967.79,13586.56
2016/5/13,2960.02,2982.68,2945.02,2958.66,11403.36
2016/5/16,2947.8,2983.91,2935.45,2983.53,11438.1
2016/5/17,2983.59,2993.46,2964.26,2976.01,12313.56
2016/5/18,2959.62,2959.7,2910.94,2938.32,13985.91
2016/5/19,2932.86,2961.22,2932.06,2937.95,11114.87
2016/5/20,2923.24,2957.92,2915.1,2957.44,10828.3
2016/5/23,2958.29,2981.02,2958.23,2976.41,12017.15
2016/5/24,2972.23,2972.24,2938.23,2953.42,11128.18
2016/5/25,2967.42,2975.9,2938.82,2946.5,10324.83
2016/5/26,2944.9,2959.1,2910.6,2954.28,11437.55
2016/5/27,2949.58,2965.1,2941.02,2952.78,10959.97
2016/5/30,2946.06,2963.2,2925.11,2954.32,10610.6
2016/5/31,2954.45,3053.33,2954.45,3052.77,21422.02
2016/6/1,3053.34,3065.84,3045.32,3049.51,18796.61
2016/6/2,3047.11,3062.23,3042.19,3061.77,15941.57
2016/6/3,3066.57,3083.04,3051.25,3075.87,17168.87
2016/6/6,3078.29,3083.45,3058.67,3071.06,14170.47
2016/6/7,3073.36,3075.61,3059.95,3073.11,13281.39
2016/6/8,3069.25,3075.13,3044.08,3063.75,14274.34
2016/6/13,3032.39,3047.03,2964.66,2965.26,16873.17
2016/6/14,2955.99,2976.13,2953.69,2974.84,11948.11
2016/6/15,2946.03,3029.41,2943.02,3022.01,16629.92
2016/6/16,3012.75,3022.64,2999.21,3007,17365.73
2016/6/17,3007.2,3035.79,3006.33,3019.9,17112.29
2016/6/20,3022.55,3026.83,2997.86,3023.84,13632.63
2016/6/21,3033.86,3055.75,3003.24,3013.08,16398.59
2016/6/22,3006.97,3041.81,3003.6,3041.36,13024.96
2016/6/23,3038.06,3039.83,3013.15,3027.08,13579.8
2016/6/24,3018.46,3035.02,2938.61,2987.58,19028.56
2016/6/27,2973.18,3031,2972.89,3030.98,15626.76
2016/6/28,3019.76,3049.7,3013.26,3048.62,17341.49
2016/6/29,3054.9,3071.1,3051.22,3068.58,19280.15
2016/6/30,3068.46,3075.45,3058.85,3066.5,15419
2016/7/1,3068.8,3082.62,3062.52,3069.5,14096.72
2016/7/4,3060.91,3132.41,3059.05,3128.33,22144.34
2016/7/5,3131.64,3151.08,3130.45,3147,23477.49
2016/7/6,3138.71,3158.81,3124.36,3158.43,21198.77
2016/7/7,3150.08,3165.64,3134.72,3158.02,22225.96
2016/7/8,3140.67,3141.96,3123.43,3127.86,16872.35
2016/7/11,3133.8,3164.41,3130.82,3135.03,22393.15
2016/7/12,3132.51,3192.5,3124.05,3192.18,25897.9
2016/7/13,3192.32,3212.82,3190.92,3204.03,25330.07
2016/7/14,3198.01,3200.2,3178.69,3197.07,17988.82
2016/7/15,3199.83,3206.11,3187.07,3197.33,17247.92
2016/7/18,3190.35,3201.58,3173.58,3186.11,17720.15
2016/7/19,3182.61,3186.15,3155.38,3178.79,15508.53
2016/7/20,3176.8,3185.48,3164.1,3169.64,13799.5
2016/7/21,3169.33,3196.3,3169.08,3181.26,16341.16
2016/7/22,3180.32,3181.52,3148.16,3153.8,16174.78
2016/7/25,3148.84,3168.81,3143.81,3156.97,14394.62
2016/7/26,3155.08,3193.46,3154.83,3192.99,15635.32
2016/7/27,3193.18,3200.58,3076.74,3132.09,27915.17
2016/7/28,3119.99,3144.03,3107.15,3134.53,18976.63
2016/7/29,3132.65,3140.56,3112.15,3118.9,14959.8
2016/8/1,3111.14,3112.14,3069.31,3091.75,14689.12
2016/8/2,3088.28,3110.51,3084.67,3110.51,11513.85
2016/8/3,3102.03,3120.83,3095.29,3117.99,14074.21
2016/8/4,3115.83,3122.56,3097.5,3122.11,13369.11
2016/8/5,3118.28,3131.82,3110.7,3116.08,14164.23
2016/8/8,3111.81,3145.47,3097.56,3145.01,15538.38
2016/8/9,3141.88,3167.69,3139.12,3167.45,16971.97
2016/8/10,3165.13,3175.33,3158.45,3160.19,16443.48
2016/8/11,3154.86,3180.46,3141.8,3143.34,16165.65
2016/8/12,3140.86,3194.14,3139.56,3193.74,16796.36
2016/8/15,3199.85,3284.7,3197.08,3271.81,29691
2016/8/16,3277.42,3287.77,3247.48,3255.83,27778.89
