Date,Open,High,Low,Close, Volume,Turnover
20090707,3284.09,3306.90,3255.99,3266.06,15215190791.00,1714.53
20090708,3235.08,3281.77,3196.41,3274.07,13335191310.00,1557.17
20090709,3271.55,3323.16,3262.46,3323.16,14011678318.00,1651.92
20090710,3325.73,3346.45,3313.35,3323.86,13055779304.00,1544.39
20090713,3310.59,3331.38,3298.93,3300.68,12860615968.00,1528.57
20090714,3331.93,3386.77,3331.93,3386.77,13492660150.00,1620.42
20090715,3398.58,3423.21,3397.85,3418.62,15657458572.00,1870.21
20090716,3440.07,3458.33,3411.06,3420.29,15167535399.00,1864.83
20090717,3418.98,3442.65,3404.12,3434.03,12776221393.00,1545.36
20090720,3446.56,3501.06,3433.03,3497.72,16118275887.00,2010.40
20090721,3508.41,3512.66,3440.90,3441.52,15726177996.00,1973.26
20090722,3437.10,3503.32,3437.10,3503.32,13628823872.00,1770.21
20090723,3509.19,3545.50,3494.78,3545.50,13736129601.00,1707.45
20090724,3563.28,3575.52,3486.10,3553.68,15425233624.00,1946.17
20090727,3566.99,3624.26,3566.55,3624.26,16193495838.00,2074.07
20090728,3627.35,3640.77,3596.50,3640.77,17453515350.00,2227.64
20090729,3629.22,3648.23,3433.92,3452.42,19690742289.00,2425.31
20090730,3478.73,3542.63,3422.48,3525.47,15608307417.00,1942.17
20090731,3557.29,3619.49,3530.72,3619.17,15547765463.00,1951.79
20090803,3637.87,3671.17,3614.84,3670.70,16422766425.00,2112.59
20090804,3683.50,3683.50,3610.60,3674.22,17209872632.00,2214.78
20090805,3670.56,3684.96,3593.77,3640.45,16802282074.00,2156.90
20090806,3611.15,3635.42,3527.39,3569.68,14655225808.00,1985.41
20090807,3564.81,3584.47,3466.47,3467.83,12422872784.00,1643.57
20090810,3501.67,3509.06,3413.52,3463.13,10306833947.00,1356.45
20090811,3477.18,3485.44,3437.31,3477.63,8046168108.00,1052.07
20090812,3468.98,3468.98,3321.84,3321.84,10973306549.00,1399.14
20090813,3322.53,3360.92,3280.26,3353.28,9609462886.00,1225.24
20090814,3350.68,3357.69,3245.14,3247.80,10276255325.00,1287.16
20090817,3194.32,3224.23,3055.01,3055.11,10621120070.00,1256.46
20090818,3029.36,3093.46,3006.16,3088.71,8621749624.00,1008.71
20090819,3095.45,3100.13,2919.95,2945.19,9393186810.00,1084.09
20090820,2951.52,3069.44,2951.52,3069.44,9094524116.00,1098.21
20090821,3062.12,3142.61,3055.21,3130.69,10136441776.00,1197.78
20090824,3146.02,3171.35,3113.74,3160.62,9792867258.00,1189.82
20090825,3144.89,3144.89,2982.52,3059.92,11824704154.00,1419.17
20090826,3035.34,3154.13,3035.34,3125.23,10628020562.00,1281.88
20090827,3105.54,3162.17,3080.50,3115.27,10790846712.00,1246.35
20090828,3109.01,3112.20,3001.44,3010.86,10134888656.00,1190.21
20090831,2969.30,2969.30,2804.12,2805.43,10074408870.00,1152.67
20090901,2783.04,2865.80,2783.04,2818.32,8175135831.00,928.45
20090902,2800.60,2871.79,2800.60,2860.44,6932924053.00,792.64
20090903,2866.13,3014.81,2866.13,3008.21,10375016266.00,1194.20
20090904,3008.90,3047.89,3008.90,3036.55,10140328778.00,1181.42
20090907,3057.14,3110.71,3056.70,3066.29,10354024307.00,1253.37
20090908,3048.88,3126.22,3023.63,3126.22,10312283677.00,1287.63
20090909,3139.66,3154.70,3104.00,3144.13,10766474149.00,1380.06
20090910,3129.87,3147.45,3106.56,3112.51,8151902354.00,993.89
20090911,3103.90,3194.85,3103.90,3186.21,9845648340.00,1201.39
20090914,3196.62,3244.66,3188.81,3242.51,11455175849.00,1376.77
20090915,3247.33,3272.47,3222.66,3251.56,11303441895.00,1355.94
20090916,3240.21,3240.21,3172.73,3215.75,11794148851.00,1417.78
20090917,3257.69,3287.82,3246.61,3280.19,12747599353.00,1504.76
20090918,3286.17,3287.07,3145.64,3165.98,13590113131.00,1561.67
20090921,3133.19,3185.13,3076.48,3184.70,10060541602.00,1210.74
20090922,3172.68,3210.88,3111.51,3111.51,10083921588.00,1240.03
20090923,3108.83,3122.25,3028.98,3040.94,8757437570.00,1046.53
20090924,3023.63,3079.85,2968.40,3050.59,8211556749.00,962.23
20090925,3031.47,3060.49,3007.00,3032.34,6018180862.00,691.49
20090928,3040.24,3062.87,2947.32,2951.89,5606209763.00,644.90
20090929,2953.77,2973.18,2898.43,2945.57,5932757289.00,655.43
20090930,2964.57,3002.20,2964.14,2974.68,5407624456.00,626.05
20091009,3040.06,3125.02,3040.06,3125.02,6974757811.00,845.44
20091012,3139.87,3156.70,3117.89,3118.14,7390422207.00,900.42
20091013,3111.20,3162.94,3111.20,3162.94,6442451158.00,770.54
20091014,3173.16,3229.08,3173.16,3187.49,9721297393.00,1195.05
20091015,3215.74,3241.42,3187.01,3198.16,7604363018.00,947.02
20091016,3208.49,3224.23,3156.77,3199.70,7143688538.00,887.94
20091019,3197.75,3277.59,3197.75,3277.59,9396597230.00,1206.46
20091020,3302.14,3328.28,3294.90,3328.28,11476552888.00,1468.60
20091021,3325.95,3356.44,3315.07,3315.53,10477008544.00,1316.49
20091022,3308.55,3324.69,3292.16,3299.29,7948859420.00,1012.89
20091023,3306.16,3377.11,3306.16,3358.80,10766520521.00,1327.69
20091026,3367.74,3376.79,3337.25,3363.14,8992855858.00,1154.58
20091027,3337.33,3338.75,3272.01,3272.01,9701310590.00,1236.76
20091028,3261.31,3290.29,3223.55,3287.32,8310815091.00,1030.81
20091029,3228.31,3254.90,3210.76,3216.17,8268877412.00,1047.05
20091030,3269.60,3293.30,3246.50,3252.56,8360775214.00,1062.17
20091102,3197.92,3365.56,3189.16,3365.56,11058040104.00,1388.60
20091103,3375.10,3417.80,3375.10,3411.00,11730244767.00,1494.65
20091104,3416.99,3444.58,3395.00,3430.82,11747452887.00,1480.52
20091105,3433.76,3449.06,3417.13,3443.92,11057269290.00,1302.09
20091106,3469.68,3480.04,3450.18,3457.85,12303519413.00,1497.39
20091109,3461.92,3471.49,3431.61,3471.49,10540973523.00,1311.16
20091110,3493.24,3503.14,3480.82,3480.95,11048955460.00,1394.07
20091111,3477.40,3487.67,3449.15,3476.60,9871338823.00,1230.65
20091112,3486.45,3511.45,3472.80,3484.36,10779746667.00,1319.33
20091113,3476.65,3510.09,3442.58,3510.09,11395716792.00,1403.57
20091116,3533.15,3610.30,3533.15,3610.30,15439114265.00,1951.59
20091117,3626.92,3626.92,3604.24,3614.91,12492585878.00,1590.80
20091118,3619.47,3635.23,3600.41,3618.38,11884446276.00,1449.55
20091119,3625.49,3638.88,3602.97,3637.72,13207782222.00,1585.11
